=== VTF Upscaler 7.0.0 Log — 2026-03-30 20:13:43 ===

[20:13:43] ⚡ Using cached scan for 1 files (instant)...
[20:13:43] 🔍 Scan done: 1 to upscale (0.3 MB), 0 skipped | batch size: 200
[20:13:43] 📦 Batch 1/1 (1 files)...
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame90.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame90.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame9.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame9.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame92.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame92.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame91.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame91.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame94.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame94.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame93.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame93.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame96.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame96.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame95.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame95.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame98.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame98.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame97.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame97.png done
[20:13:46] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input/0000_frame99.bmp -> G:\_vtf_scratch\vtf_out_1_1774898023\output/0000_frame99.png done
[20:13:46] 🔄 GPU batch 1 pass 2/2 (8x multi-pass)...
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame0.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame0.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame1.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame1.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame10.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame10.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame100.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame100.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame101.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame101.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame102.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame102.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame104.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame104.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame103.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame103.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame106.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame106.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame105.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame105.png done
[20:13:48] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame107.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame107.png done
[20:13:49] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame108.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame108.png done
[20:13:49] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame109.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame109.png done
[20:13:49] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame11.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame11.png done
[20:13:49] [GPU] G:\_vtf_scratch\vtf_batch_1_1774898023\input_pass2/0000_frame110.png -> G:\_vtf_scratch\vtf_batch_1_1774898023\output_pass2/0000_frame110.png done
